,YEAR,MONTH,DAY,TYPE,PERIOD,SEASON,NEIGHBOURHOOD,Counts
2605,2015,11,1,Theft from Vehicle,AM,Autumn,Kerrisdale,11
2606,2012,12,1,Mischief,PM,Winter,Hastings-Sunrise,2
2607,2015,5,1,Break and Enter Commercial,PM,Spring,West End,4
2608,2021,4,1,Theft of Bicycle,PM,Spring,Fairview,16
2609,2012,9,1,Break and Enter Commercial,AM,Autumn,Victoria-Fraserview,1
2610,2015,2,1,Break and Enter Residential/Other,PM,Winter,Fairview,7
2611,2015,4,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,West End,3
2612,2017,5,1,Break and Enter Commercial,PM,Spring,Strathcona,2
2613,2021,7,1,Mischief,PM,Summer,Killarney,7
2614,2018,10,1,Theft of Bicycle,PM,Autumn,Marpole,1
2615,2018,9,1,Other Theft,PM,Autumn,South Cambie,1
2616,2015,10,1,Theft from Vehicle,AM,Autumn,Strathcona,20
2617,2016,8,1,Mischief,PM,Summer,Killarney,3
2618,2012,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Marpole,1
2619,2018,7,1,Break and Enter Residential/Other,AM,Summer,Shaughnessy,4
2620,2020,1,1,Offence Against a Person,AM,Winter,Hastings-Sunrise,7
2621,2016,9,1,Other Theft,PM,Autumn,Arbutus Ridge,1
2622,2016,7,1,Offence Against a Person,AM,Summer,Victoria-Fraserview,5
2623,2013,3,1,Theft of Vehicle,AM,Spring,Riley Park,1
2624,2014,5,1,Mischief,PM,Spring,Central Business District,48
2625,2021,3,1,Mischief,AM,Winter,Fairview,5
2626,2017,4,1,Theft from Vehicle,PM,Spring,West End,77
2627,2019,11,1,Vehicle Collision or Pedestrian Struck (with Fatality),AM,Autumn,Killarney,1
2628,2021,8,1,Theft of Vehicle,PM,Summer,Kitsilano,4
2629,2013,10,1,Other Theft,PM,Autumn,Dunbar-Southlands,6
2630,2021,8,1,Theft of Bicycle,PM,Summer,Riley Park,3
2631,2015,10,1,Break and Enter Residential/Other,AM,Autumn,Oakridge,2
2632,2012,12,1,Offence Against a Person,AM,Winter,Riley Park,2
2633,2017,7,1,Break and Enter Residential/Other,PM,Summer,Shaughnessy,6
2634,2013,9,1,Theft from Vehicle,PM,Summer,Riley Park,16
2635,2021,12,1,Other Theft,AM,Autumn,Central Business District,48
2636,2016,12,1,Other Theft,AM,Autumn,Kensington-Cedar Cottage,6
2637,2020,6,1,Break and Enter Residential/Other,AM,Spring,Sunset,4
2638,2018,5,1,Break and Enter Commercial,PM,Spring,Strathcona,5
2639,2013,7,1,Other Theft,AM,Summer,Oakridge,5
2640,2021,6,1,Theft from Vehicle,PM,Summer,Arbutus Ridge,1
2641,2017,11,1,Offence Against a Person,AM,Autumn,Hastings-Sunrise,5
2642,2022,12,1,Break and Enter Commercial,AM,Autumn,Mount Pleasant,6
2643,2021,10,1,Other Theft,PM,Autumn,Marpole,8
2644,2017,2,1,Mischief,PM,Winter,Killarney,5
2645,2020,12,1,Break and Enter Residential/Other,PM,Winter,Arbutus Ridge,1
2646,2021,3,1,Theft of Bicycle,PM,Winter,West End,5
2647,2017,3,1,Mischief,PM,Spring,Kitsilano,1
2648,2016,11,1,Theft of Bicycle,AM,Autumn,Kitsilano,2
2649,2020,9,1,Mischief,PM,Summer,Riley Park,6
2650,2021,5,1,Theft from Vehicle,PM,Spring,Marpole,10
2651,2014,9,1,Theft of Vehicle,PM,Summer,Stanley Park,1
2652,2014,5,1,Theft of Bicycle,AM,Spring,Killarney,1
2653,2018,10,1,Break and Enter Residential/Other,AM,Autumn,South Cambie,1
2654,2012,4,1,Mischief,AM,Spring,Strathcona,12
2655,2015,2,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Shaughnessy,1
2656,2013,12,1,Mischief,PM,Winter,South Cambie,1
2657,2013,8,1,Theft of Bicycle,PM,Summer,Central Business District,72
2658,2018,10,1,Other Theft,AM,Autumn,Riley Park,3
2659,2016,2,1,Theft from Vehicle,PM,Winter,Kitsilano,35
2660,2021,3,1,Other Theft,PM,Spring,Victoria-Fraserview,3
2661,2020,3,1,Offence Against a Person,AM,Winter,Renfrew-Collingwood,9
2662,2017,5,1,Theft of Bicycle,PM,Spring,West Point Grey,1
2663,2016,12,1,Theft of Bicycle,PM,Winter,Dunbar-Southlands,1
2664,2016,11,1,Break and Enter Commercial,AM,Autumn,Marpole,4
2665,2019,4,1,Theft from Vehicle,AM,Spring,Riley Park,9
2666,2012,5,1,Theft of Vehicle,AM,Spring,Kitsilano,2
2667,2016,10,1,Theft from Vehicle,AM,Autumn,Marpole,5
2668,2016,12,1,Break and Enter Commercial,PM,Winter,West End,3
2669,2017,11,1,Break and Enter Commercial,PM,Autumn,Mount Pleasant,10
2670,2017,5,1,Theft of Bicycle,PM,Spring,South Cambie,1
2671,2013,12,1,Break and Enter Commercial,AM,Winter,West Point Grey,1
2672,2017,11,1,Break and Enter Commercial,PM,Autumn,Killarney,2
2673,2017,7,1,Mischief,AM,Summer,West End,11
2674,2018,7,1,Theft from Vehicle,AM,Summer,Central Business District,124
2675,2019,6,1,Offence Against a Person,AM,Spring,West Point Grey,1
2676,2020,2,1,Offence Against a Person,AM,Winter,Strathcona,47
2677,2020,11,1,Break and Enter Commercial,AM,Autumn,Grandview-Woodland,5
2678,2015,2,1,Other Theft,PM,Winter,Oakridge,13
2679,2014,9,1,Theft from Vehicle,PM,Summer,Central Business District,137
2680,2014,2,1,Other Theft,PM,Winter,Renfrew-Collingwood,42
2681,2021,9,1,Other Theft,PM,Autumn,South Cambie,2
2682,2016,6,1,Theft of Bicycle,AM,Summer,Strathcona,3
2683,2017,6,1,Theft of Vehicle,PM,Spring,Hastings-Sunrise,2
2684,2013,4,1,Other Theft,PM,Spring,Kerrisdale,2
2685,2015,4,1,Theft of Bicycle,PM,Spring,Shaughnessy,1
2686,2022,12,1,Break and Enter Residential/Other,AM,Autumn,Victoria-Fraserview,2
2687,2014,2,1,Offence Against a Person,AM,Winter,Kitsilano,6
2688,2015,8,1,Break and Enter Residential/Other,PM,Summer,Strathcona,5
2689,2012,1,1,Theft from Vehicle,AM,Winter,Strathcona,10
2690,2014,12,1,Theft from Vehicle,AM,Winter,Renfrew-Collingwood,15
2691,2017,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Strathcona,1
2692,2014,3,1,Offence Against a Person,AM,Winter,Hastings-Sunrise,1
2693,2015,12,1,Break and Enter Residential/Other,PM,Autumn,Fairview,4
2694,2021,1,1,Other Theft,PM,Winter,Kensington-Cedar Cottage,21
2695,2012,6,1,Theft of Vehicle,AM,Spring,West Point Grey,1
2696,2020,8,1,Offence Against a Person,AM,Summer,Arbutus Ridge,3
2697,2013,11,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Shaughnessy,1
2698,2013,12,1,Mischief,AM,Winter,West End,6
2699,2022,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Kerrisdale,1
2700,2016,3,1,Break and Enter Residential/Other,PM,Spring,Kensington-Cedar Cottage,1
2701,2018,6,1,Theft from Vehicle,AM,Spring,Shaughnessy,2
2702,2022,1,1,Theft of Vehicle,AM,Winter,Kitsilano,1
2703,2021,8,1,Other Theft,AM,Summer,Killarney,7
2704,2012,1,1,Theft of Vehicle,PM,Winter,Strathcona,8
2705,2014,5,1,Break and Enter Residential/Other,AM,Spring,Shaughnessy,2
2706,2019,3,1,Mischief,AM,Winter,Central Business District,40
2707,2012,3,1,Mischief,AM,Spring,Dunbar-Southlands,1
2708,2015,11,1,Other Theft,PM,Autumn,Hastings-Sunrise,13
2709,2016,4,1,Theft from Vehicle,AM,Spring,West End,39
2710,2021,3,1,Theft from Vehicle,AM,Winter,Kitsilano,6
2711,2015,3,1,Theft of Vehicle,PM,Winter,Marpole,2
2712,2019,9,1,Break and Enter Commercial,PM,Autumn,Strathcona,3
2713,2013,6,1,Theft of Bicycle,AM,Summer,Kensington-Cedar Cottage,3
2714,2013,9,1,Other Theft,AM,Summer,Riley Park,6
2715,2013,8,1,Theft of Vehicle,PM,Summer,Shaughnessy,2
2716,2016,5,1,Theft of Vehicle,AM,Spring,Killarney,1
2717,2015,6,1,Break and Enter Residential/Other,AM,Spring,Oakridge,3
2718,2015,12,1,Break and Enter Commercial,PM,Winter,Kitsilano,3
2719,2019,3,1,Other Theft,PM,Spring,Hastings-Sunrise,1
2720,2014,3,1,Theft from Vehicle,AM,Spring,Mount Pleasant,8
2721,2014,8,1,Offence Against a Person,AM,Summer,Sunset,9
2722,2013,6,1,Other Theft,PM,Spring,Kensington-Cedar Cottage,22
2723,2018,2,1,Offence Against a Person,AM,Winter,Central Business District,74
2724,2013,11,1,Break and Enter Residential/Other,AM,Autumn,Dunbar-Southlands,5
2725,2016,12,1,Theft of Bicycle,PM,Autumn,Marpole,1
2726,2018,6,1,Mischief,PM,Spring,Grandview-Woodland,10
2727,2017,10,1,Break and Enter Residential/Other,PM,Autumn,Victoria-Fraserview,2
2728,2020,6,1,Break and Enter Commercial,AM,Spring,Central Business District,24
2729,2018,12,1,Break and Enter Commercial,AM,Winter,Renfrew-Collingwood,3
2730,2016,10,1,Theft of Bicycle,PM,Autumn,Dunbar-Southlands,1
2731,2015,9,1,Theft of Vehicle,PM,Autumn,Victoria-Fraserview,1
2732,2017,5,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Killarney,1
2733,2022,2,1,Other Theft,PM,Winter,Marpole,8
2734,2012,6,1,Other Theft,PM,Spring,Renfrew-Collingwood,37
2735,2019,3,1,Break and Enter Residential/Other,AM,Winter,Renfrew-Collingwood,2
2736,2014,3,1,Mischief,AM,Spring,Strathcona,5
2737,2015,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Mount Pleasant,3
2738,2019,5,1,Other Theft,AM,Spring,Strathcona,19
2739,2012,2,1,Other Theft,PM,Winter,Sunset,13
2740,2020,9,1,Theft from Vehicle,AM,Summer,Grandview-Woodland,10
2741,2015,12,1,Theft of Vehicle,AM,Autumn,Oakridge,2
2742,2017,10,1,Theft from Vehicle,AM,Autumn,Riley Park,7
2743,2014,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Fairview,6
2744,2017,12,1,Break and Enter Commercial,AM,Autumn,Riley Park,1
2745,2014,8,1,Theft from Vehicle,PM,Summer,Fairview,63
2746,2022,11,1,Theft of Vehicle,AM,Autumn,Sunset,4
2747,2014,3,1,Break and Enter Residential/Other,PM,Spring,Hastings-Sunrise,3
2748,2018,3,1,Theft from Vehicle,PM,Winter,Kensington-Cedar Cottage,19
2749,2022,7,1,Break and Enter Residential/Other,PM,Summer,Kitsilano,2
2750,2014,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Riley Park,3
2751,2014,3,1,Theft from Vehicle,AM,Winter,Renfrew-Collingwood,6
2752,2019,4,1,Other Theft,PM,Spring,Central Business District,278
2753,2016,12,1,Theft of Bicycle,AM,Autumn,Renfrew-Collingwood,1
2754,2020,3,1,Break and Enter Commercial,PM,Winter,Fairview,9
2755,2018,10,1,Vehicle Collision or Pedestrian Struck (with Fatality),AM,Autumn,Sunset,1
2756,2021,6,1,Break and Enter Commercial,PM,Spring,Strathcona,5
2757,2016,3,1,Other Theft,AM,Winter,Central Business District,87
2758,2018,5,1,Other Theft,PM,Spring,Sunset,17
2759,2021,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Mount Pleasant,3
2760,2022,10,1,Theft of Vehicle,PM,Autumn,West End,5
2761,2015,5,1,Theft from Vehicle,PM,Spring,Fairview,29
2762,2022,2,1,Theft of Vehicle,PM,Winter,Victoria-Fraserview,3
2763,2016,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Mount Pleasant,3
2764,2022,9,1,Offence Against a Person,AM,Autumn,Hastings-Sunrise,3
2765,2016,9,1,Break and Enter Residential/Other,PM,Summer,Killarney,5
2766,2015,4,1,Mischief,AM,Spring,Killarney,2
2767,2018,11,1,Other Theft,AM,Autumn,Riley Park,4
2768,2021,9,1,Break and Enter Residential/Other,AM,Summer,Sunset,1
2769,2019,11,1,Offence Against a Person,AM,Autumn,Strathcona,41
2770,2020,6,1,Other Theft,PM,Spring,Renfrew-Collingwood,33
2771,2018,1,1,Offence Against a Person,AM,Winter,Central Business District,79
2772,2015,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,South Cambie,1
2773,2013,4,1,Theft of Vehicle,PM,Spring,Hastings-Sunrise,3
2774,2021,12,1,Mischief,AM,Winter,Fairview,1
2775,2018,6,1,Offence Against a Person,AM,Summer,Dunbar-Southlands,2
2776,2022,9,1,Theft from Vehicle,PM,Summer,Strathcona,20
2777,2018,7,1,Mischief,AM,Summer,Renfrew-Collingwood,7
2778,2013,9,1,Mischief,PM,Autumn,Grandview-Woodland,3
2779,2020,9,1,Theft of Vehicle,PM,Autumn,Marpole,3
2780,2014,4,1,Mischief,AM,Spring,Hastings-Sunrise,3
2781,2021,12,1,Offence Against a Person,AM,Winter,Grandview-Woodland,5
2782,2013,6,1,Break and Enter Residential/Other,AM,Summer,Dunbar-Southlands,1
2783,2014,3,1,Break and Enter Commercial,PM,Spring,West End,1
2784,2016,9,1,Break and Enter Residential/Other,AM,Summer,Killarney,2
2785,2013,12,1,Theft of Vehicle,PM,Winter,Mount Pleasant,1
2786,2012,10,1,Break and Enter Commercial,AM,Autumn,Grandview-Woodland,4
2787,2015,12,1,Break and Enter Commercial,PM,Autumn,West End,3
2788,2019,8,1,Theft of Bicycle,PM,Summer,South Cambie,1
2789,2016,4,1,Theft from Vehicle,PM,Spring,Fairview,40
2790,2015,3,1,Break and Enter Residential/Other,PM,Spring,Oakridge,3
2791,2021,12,1,Break and Enter Commercial,AM,Autumn,Arbutus Ridge,1
2792,2020,4,1,Theft of Bicycle,AM,Spring,West End,4
2793,2017,11,1,Theft of Vehicle,AM,Autumn,Killarney,1
2794,2015,11,1,Mischief,AM,Autumn,Shaughnessy,3
2795,2021,7,1,Theft from Vehicle,AM,Summer,West Point Grey,3
2796,2019,6,1,Theft of Vehicle,PM,Summer,West End,5
2797,2012,11,1,Break and Enter Residential/Other,AM,Autumn,Grandview-Woodland,6
2798,2017,4,1,Break and Enter Commercial,AM,Spring,Kitsilano,6
2799,2013,5,1,Theft of Vehicle,PM,Spring,Hastings-Sunrise,5
2800,2012,2,1,Theft of Vehicle,AM,Winter,Central Business District,3
2801,2017,7,1,Theft of Vehicle,PM,Summer,Shaughnessy,1
2802,2016,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Arbutus Ridge,3
2803,2014,12,1,Break and Enter Commercial,PM,Autumn,Mount Pleasant,6
2804,2019,4,1,Break and Enter Residential/Other,AM,Spring,Kensington-Cedar Cottage,5
2805,2015,1,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Renfrew-Collingwood,3
2806,2015,10,1,Theft of Vehicle,PM,Autumn,Riley Park,3
2807,2022,6,1,Theft of Bicycle,PM,Summer,Renfrew-Collingwood,3
2808,2016,7,1,Other Theft,AM,Summer,South Cambie,2
2809,2021,7,1,Theft of Bicycle,PM,Summer,Dunbar-Southlands,1
2810,2013,4,1,Break and Enter Residential/Other,PM,Spring,Kensington-Cedar Cottage,15
2811,2015,9,1,Theft of Vehicle,AM,Summer,Marpole,1
2812,2021,9,1,Break and Enter Residential/Other,PM,Summer,Oakridge,2
2813,2016,3,1,Other Theft,AM,Spring,Strathcona,7
2814,2020,6,1,Offence Against a Person,AM,Spring,Hastings-Sunrise,5
2815,2015,5,1,Theft from Vehicle,PM,Spring,Kensington-Cedar Cottage,31
2816,2020,12,1,Offence Against a Person,AM,Winter,Renfrew-Collingwood,3
2817,2018,10,1,Mischief,AM,Autumn,West End,20
2818,2014,4,1,Offence Against a Person,AM,Spring,Riley Park,4
2819,2018,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Killarney,1
2820,2013,1,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Renfrew-Collingwood,7
2821,2020,12,1,Break and Enter Commercial,PM,Autumn,Mount Pleasant,6
2822,2017,2,1,Theft from Vehicle,PM,Winter,Victoria-Fraserview,7
2823,2016,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Dunbar-Southlands,2
2824,2017,3,1,Theft of Bicycle,PM,Spring,Strathcona,1
2825,2018,3,1,Theft from Vehicle,AM,Winter,Mount Pleasant,10
2826,2020,5,1,Offence Against a Person,AM,Spring,Strathcona,54
2827,2014,5,1,Other Theft,AM,Spring,Kensington-Cedar Cottage,18
2828,2018,10,1,Theft from Vehicle,PM,Autumn,Arbutus Ridge,4
2829,2013,4,1,Mischief,PM,Spring,Killarney,9
2830,2021,7,1,Theft of Vehicle,AM,Summer,Kitsilano,1
2831,2015,1,1,Break and Enter Residential/Other,AM,Winter,Dunbar-Southlands,1
2832,2021,12,1,Other Theft,AM,Autumn,Fairview,6
2833,2022,12,1,Mischief,AM,Autumn,Marpole,2
2834,2014,3,1,Mischief,PM,Spring,Kitsilano,2
2835,2022,12,1,Theft of Vehicle,PM,Winter,Mount Pleasant,3
2836,2013,2,1,Break and Enter Commercial,PM,Winter,Marpole,2
2837,2017,12,1,Break and Enter Residential/Other,AM,Winter,Strathcona,1
2838,2016,11,1,Offence Against a Person,AM,Autumn,Hastings-Sunrise,6
2839,2017,6,1,Theft from Vehicle,AM,Spring,Renfrew-Collingwood,18
2840,2021,3,1,Break and Enter Residential/Other,AM,Winter,Renfrew-Collingwood,1
2841,2019,10,1,Theft of Vehicle,AM,Autumn,Mount Pleasant,3
2842,2013,1,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Marpole,1
2843,2019,1,1,Mischief,PM,Winter,Victoria-Fraserview,3
2844,2018,3,1,Theft from Vehicle,PM,Winter,Kerrisdale,12
2845,2015,9,1,Offence Against a Person,AM,Summer,Strathcona,26
2846,2015,7,1,Theft of Vehicle,AM,Summer,Grandview-Woodland,4
2847,2015,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Marpole,3
2848,2021,12,1,Other Theft,AM,Winter,Fairview,3
2849,2016,1,1,Mischief,PM,Winter,Oakridge,1
2850,2018,4,1,Break and Enter Residential/Other,AM,Spring,West Point Grey,4
2851,2016,2,1,Break and Enter Commercial,PM,Winter,Central Business District,22
2852,2019,2,1,Mischief,AM,Winter,Strathcona,12
2853,2020,1,1,Theft from Vehicle,PM,Winter,Arbutus Ridge,9
2854,2015,3,1,Mischief,AM,Spring,Kensington-Cedar Cottage,1
2855,2016,6,1,Other Theft,AM,Summer,Arbutus Ridge,1
2856,2021,3,1,Theft of Vehicle,AM,Winter,Mount Pleasant,1
2857,2012,11,1,Mischief,AM,Autumn,Killarney,1
2858,2019,7,1,Other Theft,AM,Summer,Central Business District,126
2859,2022,3,1,Theft from Vehicle,AM,Spring,Renfrew-Collingwood,3
2860,2019,9,1,Break and Enter Residential/Other,AM,Summer,Mount Pleasant,3
2861,2017,4,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Victoria-Fraserview,2
2862,2020,4,1,Break and Enter Commercial,AM,Spring,Hastings-Sunrise,3
2863,2019,12,1,Theft of Vehicle,PM,Winter,Victoria-Fraserview,1
2864,2017,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Marpole,2
2865,2022,1,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Fairview,1
2866,2019,3,1,Mischief,AM,Winter,South Cambie,1
2867,2020,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Arbutus Ridge,2
2868,2018,3,1,Mischief,PM,Spring,Hastings-Sunrise,6
2869,2019,6,1,Other Theft,PM,Summer,Killarney,1
2870,2014,6,1,Break and Enter Residential/Other,PM,Spring,Renfrew-Collingwood,1
2871,2017,9,1,Theft of Vehicle,AM,Summer,South Cambie,1
2872,2012,12,1,Other Theft,PM,Winter,Renfrew-Collingwood,5
2873,2020,3,1,Mischief,AM,Spring,West Point Grey,1
2874,2019,11,1,Break and Enter Residential/Other,AM,Autumn,Victoria-Fraserview,1
2875,2020,11,1,Theft of Bicycle,PM,Autumn,Riley Park,1
2876,2017,8,1,Mischief,PM,Summer,Dunbar-Southlands,4
2877,2022,4,1,Break and Enter Commercial,PM,Spring,Shaughnessy,2
2878,2021,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Stanley Park,1
2879,2020,4,1,Theft of Vehicle,AM,Spring,Marpole,1
2880,2020,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Riley Park,2
2881,2012,12,1,Theft from Vehicle,PM,Winter,Kerrisdale,4
2882,2014,7,1,Theft of Vehicle,AM,Summer,Kitsilano,1
2883,2017,3,1,Mischief,PM,Spring,Oakridge,2
2884,2016,1,1,Break and Enter Residential/Other,PM,Winter,Kerrisdale,9
2885,2016,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,West Point Grey,1
2886,2021,3,1,Break and Enter Commercial,AM,Winter,West End,6
2887,2021,11,1,Theft from Vehicle,PM,Autumn,Hastings-Sunrise,19
2888,2018,6,1,Mischief,PM,Summer,South Cambie,1
2889,2014,12,1,Theft from Vehicle,PM,Winter,Hastings-Sunrise,8
2890,2015,11,1,Offence Against a Person,AM,Autumn,Victoria-Fraserview,7
2891,2019,6,1,Other Theft,PM,Summer,Riley Park,6
2892,2013,6,1,Break and Enter Commercial,PM,Summer,Fairview,3
2893,2018,3,1,Offence Against a Person,AM,Winter,Marpole,6
2894,2022,3,1,Break and Enter Commercial,AM,Winter,Killarney,2
2895,2016,12,1,Mischief,PM,Autumn,Fairview,3
2896,2012,1,1,Other Theft,AM,Winter,Grandview-Woodland,10
2897,2016,5,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Renfrew-Collingwood,3
2898,2020,1,1,Break and Enter Residential/Other,AM,Winter,Riley Park,4
2899,2012,4,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Kensington-Cedar Cottage,2
2900,2015,3,1,Other Theft,PM,Winter,Sunset,16
2901,2016,5,1,Break and Enter Residential/Other,PM,Spring,Marpole,2
2902,2019,3,1,Break and Enter Residential/Other,PM,Spring,Central Business District,4
2903,2015,3,1,Theft of Bicycle,PM,Winter,Kitsilano,8
2904,2014,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Marpole,5
2905,2022,5,1,Theft from Vehicle,PM,Spring,Stanley Park,1
2906,2013,11,1,Theft of Bicycle,AM,Autumn,Kerrisdale,2
2907,2013,7,1,Break and Enter Residential/Other,AM,Summer,Musqueam,1
2908,2015,2,1,Break and Enter Residential/Other,AM,Winter,Shaughnessy,4
2909,2012,9,1,Other Theft,PM,Summer,Arbutus Ridge,2
2910,2012,3,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Kerrisdale,4
2911,2022,4,1,Theft of Vehicle,PM,Spring,Fairview,2
2912,2020,4,1,Break and Enter Residential/Other,PM,Spring,Fairview,2
2913,2016,10,1,Other Theft,AM,Autumn,Grandview-Woodland,10
2914,2013,12,1,Other Theft,AM,Autumn,Kensington-Cedar Cottage,12
2915,2022,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Grandview-Woodland,2
2916,2021,3,1,Theft of Bicycle,AM,Spring,Kensington-Cedar Cottage,1
2917,2017,9,1,Other Theft,AM,Summer,West Point Grey,3
2918,2021,5,1,Other Theft,PM,Spring,Kerrisdale,3
2919,2018,8,1,Theft from Vehicle,AM,Summer,Kerrisdale,3
2920,2017,12,1,Theft from Vehicle,AM,Autumn,Hastings-Sunrise,7
2921,2012,12,1,Theft from Vehicle,AM,Winter,Fairview,6
2922,2017,10,1,Other Theft,PM,Autumn,Killarney,3
2923,2022,1,1,Theft of Vehicle,PM,Winter,Sunset,1
2924,2018,12,1,Mischief,PM,Winter,Grandview-Woodland,8
2925,2013,4,1,Theft from Vehicle,PM,Spring,Oakridge,4
2926,2021,6,1,Theft from Vehicle,PM,Spring,Strathcona,13
2927,2012,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Strathcona,2
2928,2019,12,1,Break and Enter Residential/Other,AM,Autumn,Mount Pleasant,2
2929,2022,8,1,Other Theft,PM,Summer,Renfrew-Collingwood,104
2930,2015,7,1,Theft of Bicycle,PM,Summer,Strathcona,13
2931,2022,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Riley Park,3
2932,2019,12,1,Mischief,AM,Autumn,Kitsilano,3
2933,2014,2,1,Theft from Vehicle,AM,Winter,Dunbar-Southlands,1
2934,2016,10,1,Break and Enter Residential/Other,PM,Autumn,Kitsilano,5
2935,2016,3,1,Other Theft,AM,Winter,West Point Grey,1
2936,2019,8,1,Other Theft,AM,Summer,Arbutus Ridge,3
2937,2014,1,1,Theft of Bicycle,AM,Winter,Grandview-Woodland,1
2938,2014,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Musqueam,1
2939,2022,8,1,Break and Enter Commercial,AM,Summer,Killarney,2
2940,2019,6,1,Mischief,PM,Summer,Marpole,3
2941,2012,8,1,Homicide,AM,Summer,Renfrew-Collingwood,1
2942,2012,5,1,Theft of Vehicle,AM,Spring,Kensington-Cedar Cottage,1
2943,2013,1,1,Other Theft,PM,Winter,Strathcona,35
2944,2021,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Fairview,3
2945,2017,10,1,Break and Enter Residential/Other,PM,Autumn,Shaughnessy,5
2946,2012,5,1,Theft from Vehicle,PM,Spring,Mount Pleasant,27
2947,2019,10,1,Theft of Bicycle,PM,Autumn,Central Business District,23
2948,2017,7,1,Theft of Vehicle,AM,Summer,Central Business District,11
2949,2016,1,1,Break and Enter Commercial,PM,Winter,Central Business District,34
2950,2022,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Mount Pleasant,3
2951,2020,7,1,Break and Enter Commercial,AM,Summer,Kitsilano,7
2952,2019,7,1,Break and Enter Residential/Other,PM,Summer,Kensington-Cedar Cottage,9
2953,2019,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Kensington-Cedar Cottage,5
2954,2022,6,1,Other Theft,PM,Spring,Victoria-Fraserview,6
2955,2022,5,1,Break and Enter Commercial,PM,Spring,Shaughnessy,1
2956,2015,4,1,Break and Enter Residential/Other,AM,Spring,Riley Park,4
2957,2016,11,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Fairview,2
2958,2014,6,1,Break and Enter Commercial,AM,Spring,West Point Grey,1
2959,2017,7,1,Theft from Vehicle,AM,Summer,Dunbar-Southlands,4
2960,2021,1,1,Theft of Vehicle,AM,Winter,Renfrew-Collingwood,2
2961,2014,1,1,Theft of Vehicle,PM,Winter,Hastings-Sunrise,3
2962,2015,5,1,Break and Enter Commercial,PM,Spring,Strathcona,8
2963,2012,2,1,Theft of Bicycle,AM,Winter,West End,3
2964,2021,2,1,Break and Enter Commercial,AM,Winter,West Point Grey,3
2965,2022,1,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,West End,2
2966,2017,12,1,Break and Enter Commercial,AM,Winter,Riley Park,3
2967,2016,5,1,Theft from Vehicle,PM,Spring,Kerrisdale,10
2968,2018,3,1,Theft from Vehicle,AM,Winter,Kitsilano,10
2969,2018,1,1,Offence Against a Person,AM,Winter,Oakridge,1
2970,2012,4,1,Other Theft,PM,Spring,West End,41
2971,2013,1,1,Break and Enter Residential/Other,PM,Winter,Fairview,19
2972,2016,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Shaughnessy,1
