,TYPE,YEAR,MONTH,NEIGHBOURHOOD,Lat,Long,SEASON
2914,Theft from Vehicle,2019,10,Stanley Park,49.31230659570797,-123.14292928869185,Autumn
2915,Mischief,2021,2,Marpole,49.20665101673493,-123.12524871450849,Winter
2916,Other Theft,2018,6,Mount Pleasant,49.271548104772606,-123.10463457147416,Summer
2917,Theft of Vehicle,2020,11,Central Business District,49.289554383326056,-123.127552109118,Autumn
2918,Other Theft,2022,10,Sunset,49.21069229466819,-123.0992034981625,Autumn
2919,Theft from Vehicle,2020,8,West Point Grey,49.264645326740215,-123.20753349537809,Summer
2920,Break and Enter Commercial,2021,1,Grandview-Woodland,49.27404746491023,-123.07508372201062,Winter
2921,Other Theft,2022,7,Sunset,49.21069229466819,-123.0992034981625,Summer
2922,Theft from Vehicle,2020,3,Renfrew-Collingwood,49.234493730861104,-123.02475550291554,Winter
2923,Mischief,2020,9,Central Business District,49.28127245369957,-123.10897615795248,Summer
2924,Theft from Vehicle,2019,6,Strathcona,49.27854249055138,-123.09971073572724,Summer
2925,Theft from Vehicle,2019,10,Mount Pleasant,49.261410480394936,-123.083268078673,Autumn
2926,Other Theft,2021,4,Kitsilano,49.26104742742091,-123.15218186642385,Spring
2927,Break and Enter Commercial,2022,2,Mount Pleasant,49.26391374857674,-123.11438791891136,Winter
2928,Theft of Bicycle,2020,6,Central Business District,49.27792187744699,-123.12692619755096,Spring
2929,Theft from Vehicle,2019,5,Riley Park,49.244745712843866,-123.10248709226587,Spring
2930,Theft from Vehicle,2018,4,Central Business District,49.28258907947602,-123.10485820829676,Spring
2931,Other Theft,2022,10,Kitsilano,49.2681590798186,-123.15284319174089,Autumn
2932,Other Theft,2020,9,Strathcona,49.28184299843746,-123.09958228830574,Summer
2933,Other Theft,2018,11,Central Business District,49.27992779072839,-123.11432954777776,Autumn
2934,Break and Enter Residential/Other,2020,4,Riley Park,49.2564153240338,-123.09294826372157,Spring
2935,Break and Enter Residential/Other,2019,5,Riley Park,49.24989621886334,-123.10611853227678,Spring
2936,Vehicle Collision or Pedestrian Struck (with Injury),2021,11,West End,49.278250391241286,-123.1344346803872,Autumn
2937,Theft from Vehicle,2018,7,Central Business District,49.28401969536677,-123.1138300997698,Summer
2938,Mischief,2019,7,Kerrisdale,49.21505688888241,-123.15030896914897,Summer
2939,Other Theft,2018,10,Marpole,49.21027489814062,-123.1164794245953,Autumn
2940,Theft from Vehicle,2022,7,Central Business District,49.27596255709875,-123.13379011274186,Summer
2941,Other Theft,2021,2,Marpole,49.20977370194136,-123.10676833110126,Winter
2942,Other Theft,2021,3,Kensington-Cedar Cottage,49.262269799445896,-123.06820986733196,Spring
2943,Mischief,2019,7,West End,49.28441926924696,-123.12120221639812,Summer
2944,Other Theft,2018,6,Central Business District,49.28306935371031,-123.12254859036489,Spring
2945,Other Theft,2018,6,Mount Pleasant,49.25900088063911,-123.10105358099815,Summer
2946,Theft from Vehicle,2018,9,Central Business District,49.28353779949229,-123.10915289769596,Summer
2947,Theft of Bicycle,2020,5,Central Business District,49.27378977623949,-123.1141168921907,Spring
2948,Theft from Vehicle,2019,5,Kensington-Cedar Cottage,49.26045121922439,-123.07367585355604,Spring
2949,Theft from Vehicle,2022,1,Central Business District,49.2869757815539,-123.1189412122922,Winter
2950,Mischief,2020,5,Strathcona,49.2823066432554,-123.09832903778307,Spring
2951,Break and Enter Residential/Other,2020,9,South Cambie,49.250040566470375,-123.12029924951348,Summer
2952,Other Theft,2018,9,Marpole,49.21027489814062,-123.1164794245953,Summer
2953,Mischief,2020,8,Central Business District,49.28219907602065,-123.10798224213444,Summer
2954,Theft from Vehicle,2020,1,Grandview-Woodland,49.265972895889725,-123.063051379803,Winter
2955,Theft from Vehicle,2019,3,Riley Park,49.25474001937182,-123.10026686895996,Winter
2956,Theft from Vehicle,2021,5,Grandview-Woodland,49.28932489680079,-123.05769930249949,Spring
2957,Other Theft,2021,6,Grandview-Woodland,49.271397593908645,-123.07264853204904,Summer
2958,Break and Enter Residential/Other,2018,7,Central Business District,49.28324190136611,-123.12277617064127,Summer
2959,Theft from Vehicle,2019,9,Central Business District,49.2820225016684,-123.12093114425448,Summer
2960,Other Theft,2022,12,Mount Pleasant,49.2627475943559,-123.09711913629388,Winter
2961,Other Theft,2019,8,Renfrew-Collingwood,49.24498789474103,-123.047056492185,Summer
2962,Other Theft,2022,11,Sunset,49.21265648202144,-123.10648880371996,Autumn
2963,Break and Enter Commercial,2018,3,Grandview-Woodland,49.27308942957322,-123.07237570850248,Spring
2964,Mischief,2018,10,Strathcona,49.27532911305967,-123.09846320434094,Autumn
2965,Break and Enter Residential/Other,2020,2,South Cambie,49.2516014653019,-123.11882037089605,Winter
2966,Mischief,2020,4,Central Business District,49.28139490308641,-123.11968666538311,Spring
2967,Other Theft,2022,3,Fairview,49.26327875041002,-123.12193932683331,Winter
2968,Theft from Vehicle,2019,3,Central Business District,49.2805845682872,-123.10558194596248,Winter
2969,Other Theft,2018,11,Central Business District,49.28415723386935,-123.11710094553516,Autumn
2970,Vehicle Collision or Pedestrian Struck (with Injury),2020,2,Oakridge,49.21905409646128,-123.11666928822189,Winter
2971,Mischief,2022,7,Central Business District,49.27944713089563,-123.10001843949355,Summer
2972,Break and Enter Residential/Other,2020,5,Renfrew-Collingwood,49.25225962603936,-123.03040346195678,Spring
2973,Theft of Vehicle,2018,4,West End,49.29341437595863,-123.1384772520234,Spring
2974,Other Theft,2018,12,Kitsilano,49.26391437982,-123.1608682591308,Autumn
2975,Theft of Vehicle,2022,10,Central Business District,49.28386717381819,-123.1063586246988,Autumn
2976,Other Theft,2022,4,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Spring
2977,Theft from Vehicle,2020,1,Fairview,49.26220077857846,-123.1150394302387,Winter
2978,Theft from Vehicle,2018,2,Central Business District,49.28976306635149,-123.12431018899296,Winter
2979,Theft from Vehicle,2019,1,Central Business District,49.27876527497013,-123.12565786364434,Winter
2980,Theft from Vehicle,2018,12,Oakridge,49.23021372450948,-123.12934965213134,Autumn
2981,Other Theft,2018,3,Central Business District,49.281165881368096,-123.12021002491232,Winter
2982,Other Theft,2021,3,Central Business District,49.280617803301126,-123.11872748494964,Winter
2983,Vehicle Collision or Pedestrian Struck (with Injury),2019,1,Renfrew-Collingwood,49.259205275700936,-123.04439116956772,Winter
2984,Break and Enter Residential/Other,2022,6,Mount Pleasant,49.2657755071712,-123.09094370628262,Summer
2985,Mischief,2022,7,Grandview-Woodland,49.28126042139271,-123.0662795529436,Summer
2986,Theft of Bicycle,2019,7,Arbutus Ridge,49.23727849677479,-123.15568337105908,Summer
2987,Theft of Bicycle,2020,7,Arbutus Ridge,49.24302103204906,-123.15582520902298,Summer
2988,Other Theft,2020,11,West Point Grey,49.26350141114614,-123.18842935712392,Autumn
2989,Break and Enter Commercial,2022,5,Central Business District,49.275014286243554,-123.1254655580851,Spring
2990,Other Theft,2019,9,Kitsilano,49.26377519119684,-123.15263840934578,Summer
2991,Other Theft,2021,9,Central Business District,49.280048578458654,-123.11768632077266,Summer
2992,Theft from Vehicle,2019,10,Strathcona,49.26685485394525,-123.08125019345673,Autumn
2993,Theft from Vehicle,2019,7,Central Business District,49.28278677359702,-123.10586060157544,Summer
2994,Mischief,2019,4,Renfrew-Collingwood,49.25908805159693,-123.03193922770112,Spring
2995,Theft from Vehicle,2021,1,Grandview-Woodland,49.2659470196453,-123.05944672551496,Winter
2996,Theft from Vehicle,2018,9,Arbutus Ridge,49.2412477083169,-123.1610964754894,Summer
2997,Theft of Bicycle,2019,8,Fairview,49.26553679916724,-123.14325791730664,Summer
2998,Other Theft,2019,11,Central Business District,49.28253946086779,-123.11814249232724,Autumn
2999,Other Theft,2022,5,Central Business District,49.27862339926124,-123.108882495288,Spring
3000,Other Theft,2019,8,Victoria-Fraserview,49.22636529572022,-123.06576606091728,Summer
3001,Theft from Vehicle,2018,4,Fairview,49.26329274206495,-123.11759032501568,Spring
3002,Other Theft,2022,5,South Cambie,49.24999076127098,-123.11830747584612,Spring
3003,Other Theft,2018,10,Central Business District,49.27696903470012,-123.1265553892027,Autumn
3004,Theft of Bicycle,2020,8,Kerrisdale,49.23457879813093,-123.15499000036417,Summer
3005,Mischief,2022,8,Kitsilano,49.25748196383584,-123.1578408390253,Summer
3006,Theft of Vehicle,2018,8,West End,49.28591020901508,-123.12696981639613,Summer
3007,Mischief,2022,2,Central Business District,49.27946090131179,-123.12668506238396,Winter
3008,Other Theft,2019,3,West End,49.28692078410933,-123.12832402376335,Spring
3009,Theft from Vehicle,2021,12,Central Business District,49.277073081212336,-123.1262255351768,Autumn
3010,Theft from Vehicle,2020,9,Victoria-Fraserview,49.22479565743801,-123.0567554253787,Summer
3011,Mischief,2018,2,Strathcona,49.27933009826482,-123.09156350063267,Winter
3012,Other Theft,2019,6,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Spring
3013,Other Theft,2019,12,Renfrew-Collingwood,49.26196539356735,-123.05207878479531,Autumn
3014,Mischief,2019,5,Central Business District,49.28251682205711,-123.11459441439796,Spring
3015,Break and Enter Residential/Other,2019,5,Shaughnessy,49.23508921465751,-123.1280995474949,Spring
3016,Break and Enter Commercial,2022,12,Dunbar-Southlands,49.23444256360995,-123.181969090085,Autumn
3017,Theft from Vehicle,2018,12,West End,49.28308675332569,-123.13315381951152,Winter
3018,Break and Enter Commercial,2022,7,Central Business District,49.27516273174715,-123.11338960825076,Summer
3019,Mischief,2022,3,Mount Pleasant,49.2689842983072,-123.10057089621904,Spring
3020,Theft from Vehicle,2019,5,Fairview,49.26046282878714,-123.1164595549408,Spring
3021,Theft from Vehicle,2021,9,Kensington-Cedar Cottage,49.23592904803734,-123.05937458852216,Summer
3022,Theft of Vehicle,2022,1,Killarney,49.2251827382974,-123.02684820371964,Winter
3023,Other Theft,2020,5,Hastings-Sunrise,49.28391587853857,-123.02594954159606,Spring
3024,Theft from Vehicle,2020,7,Strathcona,49.28037434185765,-123.09717482536084,Summer
3025,Mischief,2020,6,Renfrew-Collingwood,49.24539386104339,-123.03066082699117,Spring
3026,Vehicle Collision or Pedestrian Struck (with Injury),2018,6,West End,49.28937248122919,-123.13861795846856,Spring
3027,Other Theft,2022,4,West End,49.28335071862145,-123.12282111353416,Spring
3028,Theft from Vehicle,2018,8,Central Business District,49.2823900281972,-123.10323151552316,Summer
3029,Mischief,2020,4,Central Business District,49.27475809283453,-123.1319072638266,Spring
3030,Theft from Vehicle,2020,5,Fairview,49.26501068434164,-123.11926030832888,Spring
3031,Theft from Vehicle,2021,10,Central Business District,49.283987616641554,-123.10720727636628,Autumn
3032,Other Theft,2021,9,Sunset,49.21923416016538,-123.09471226165108,Summer
3033,Mischief,2019,7,Kitsilano,49.26287815292886,-123.1513817979494,Summer
3034,Break and Enter Commercial,2021,12,Central Business District,49.2759682793485,-123.12225720559006,Autumn
3035,Other Theft,2019,1,Grandview-Woodland,49.27116755017863,-123.06956847390153,Winter
3036,Theft of Bicycle,2020,6,West End,49.28860364274417,-123.1289646820512,Spring
3037,Other Theft,2022,9,Central Business District,49.28252635860801,-123.1181221428289,Summer
3038,Other Theft,2019,11,Central Business District,49.282467578348,-123.10705817074096,Autumn
3039,Theft of Bicycle,2018,8,West End,49.28934127220917,-123.13858669981668,Summer
3040,Mischief,2020,12,Riley Park,49.2486391225708,-123.1010156325344,Autumn
3041,Theft of Bicycle,2018,11,Central Business District,49.28061591880887,-123.11517786327175,Autumn
3042,Other Theft,2022,7,Sunset,49.21069229466819,-123.0992034981625,Summer
3043,Other Theft,2018,1,Central Business District,49.28195964414054,-123.12084356156298,Winter
3044,Mischief,2019,10,Kitsilano,49.25992978104074,-123.14836081948827,Autumn
3045,Mischief,2018,9,Hastings-Sunrise,49.28249451377639,-123.02825682097172,Summer
3046,Theft from Vehicle,2022,5,Hastings-Sunrise,49.2783144324222,-123.04312344999973,Spring
3047,Theft of Bicycle,2019,5,Kitsilano,49.26804787956702,-123.15087397111937,Spring
3048,Break and Enter Residential/Other,2022,7,Central Business District,49.278804077815806,-123.12546717361656,Summer
3049,Theft from Vehicle,2019,3,West Point Grey,49.26301319601568,-123.21230224415864,Spring
3050,Theft of Bicycle,2018,9,Fairview,49.26503547475178,-123.12111383035592,Autumn
3051,Break and Enter Commercial,2021,7,Central Business District,49.28446624389176,-123.10986824590589,Summer
3052,Theft of Bicycle,2018,5,Central Business District,49.28366241287021,-123.10534743084015,Spring
3053,Break and Enter Commercial,2022,4,Central Business District,49.28735658889838,-123.12013122273493,Spring
3054,Other Theft,2020,11,Grandview-Woodland,49.28361983661112,-123.06761688287064,Autumn
3055,Break and Enter Commercial,2021,1,Mount Pleasant,49.25735318816029,-123.0934484325365,Winter
3056,Break and Enter Commercial,2020,3,Central Business District,49.28201681453328,-123.12074485438858,Spring
3057,Theft from Vehicle,2018,10,Grandview-Woodland,49.26411190186423,-123.05810159337996,Autumn
3058,Theft from Vehicle,2019,1,Kensington-Cedar Cottage,49.24399026690057,-123.06280713333848,Winter
3059,Break and Enter Residential/Other,2019,4,Riley Park,49.25575654718608,-123.10358807531476,Spring
3060,Theft from Vehicle,2019,6,Central Business District,49.283553957506825,-123.11299343016226,Spring
3061,Break and Enter Commercial,2020,6,Stanley Park,49.29282798196305,-123.14808779364724,Spring
3062,Mischief,2019,3,Grandview-Woodland,49.26853443239685,-123.06973750503757,Winter
3063,Theft from Vehicle,2018,6,Central Business District,49.283694217300734,-123.1200981252886,Spring
3064,Theft from Vehicle,2020,8,Central Business District,49.28341649790511,-123.11286439976514,Summer
3065,Other Theft,2021,11,West End,49.28578214351543,-123.12657574067391,Autumn
3066,Other Theft,2021,11,Central Business District,49.28229115667432,-123.118329277497,Autumn
3067,Other Theft,2018,10,Kensington-Cedar Cottage,49.245157790512536,-123.06509555771662,Autumn
3068,Mischief,2022,7,Central Business District,49.278546905830815,-123.09983627367151,Summer
3069,Other Theft,2020,7,Central Business District,49.28305575407971,-123.1225263696193,Summer
3070,Other Theft,2020,3,Renfrew-Collingwood,49.23206959219048,-123.0317127994096,Winter
3071,Break and Enter Commercial,2021,10,West End,49.285284031994536,-123.12371881781476,Autumn
3072,Other Theft,2020,2,Mount Pleasant,49.263123503625145,-123.10807905469856,Winter
3073,Theft from Vehicle,2018,3,Kitsilano,49.26242640226292,-123.17788120133017,Spring
3074,Other Theft,2021,3,South Cambie,49.25408278007467,-123.11526830166822,Spring
3075,Mischief,2019,1,Mount Pleasant,49.25671912686485,-123.08973953664731,Winter
3076,Theft from Vehicle,2018,12,Riley Park,49.25018625656167,-123.09664788314164,Winter
3077,Other Theft,2019,9,Oakridge,49.23358554748576,-123.12014794110758,Autumn
3078,Theft from Vehicle,2018,5,Central Business District,49.28524986763973,-123.10623653249546,Spring
3079,Other Theft,2019,9,West End,49.288917955972806,-123.13923400850967,Summer
3080,Other Theft,2019,5,Fairview,49.265828013406505,-123.1205478223354,Spring
3081,Other Theft,2020,11,Renfrew-Collingwood,49.239453566693406,-123.02364534398956,Autumn
3082,Break and Enter Commercial,2019,2,Central Business District,49.28447370394466,-123.10990759968485,Winter
3083,Theft of Bicycle,2018,9,Grandview-Woodland,49.266458313398886,-123.06851695545798,Summer
3084,Vehicle Collision or Pedestrian Struck (with Injury),2019,2,West End,49.28221947142973,-123.1244356181945,Winter
3085,Break and Enter Residential/Other,2021,10,Killarney,49.22054747687081,-123.04755392053067,Autumn
3086,Theft from Vehicle,2022,5,Central Business District,49.28176609234135,-123.11544778873092,Spring
3087,Other Theft,2022,8,Marpole,49.21098060986122,-123.10670596513924,Summer
3088,Theft from Vehicle,2018,3,Sunset,49.229384534378426,-123.09979732574972,Spring
3089,Other Theft,2021,6,Sunset,49.2102815591862,-123.09398080642367,Spring
3090,Theft of Bicycle,2021,4,West End,49.2856089175005,-123.13490657527754,Spring
3091,Other Theft,2019,7,Riley Park,49.23732472160261,-123.1028333432077,Summer
3092,Other Theft,2020,7,Hastings-Sunrise,49.285463900535845,-123.05646422697085,Summer
3093,Other Theft,2019,5,Central Business District,49.28389889071806,-123.11670522276012,Spring
3094,Theft from Vehicle,2019,6,Central Business District,49.27772914555523,-123.11090584978044,Summer
3095,Break and Enter Commercial,2021,1,Central Business District,49.28381182500439,-123.10619791114225,Winter
3096,Other Theft,2022,9,Central Business District,49.27334917264894,-123.12364347333546,Summer
3097,Other Theft,2018,3,West End,49.28791599515411,-123.14074704430936,Spring
3098,Theft from Vehicle,2019,10,Central Business District,49.27971039854252,-123.10762959988172,Autumn
3099,Theft from Vehicle,2021,9,Kensington-Cedar Cottage,49.24024043463737,-123.08890108298289,Autumn
3100,Break and Enter Commercial,2022,11,Central Business District,49.28286629774493,-123.10626382341276,Autumn
3101,Theft from Vehicle,2019,6,Strathcona,49.28130456021401,-123.09957751650236,Summer
3102,Mischief,2018,11,Hastings-Sunrise,49.2707827201822,-123.04685207303376,Autumn
3103,Theft from Vehicle,2019,11,Hastings-Sunrise,49.26890270878892,-123.03092795769368,Autumn
3104,Theft from Vehicle,2019,9,Central Business District,49.278601398421046,-123.12201140035091,Summer
3105,Other Theft,2019,7,Central Business District,49.28406798416743,-123.11399889833318,Summer
3106,Break and Enter Residential/Other,2021,8,Mount Pleasant,49.26011244901796,-123.09672853700174,Summer
3107,Theft from Vehicle,2019,4,Central Business District,49.28272270666129,-123.10553575149574,Spring
3108,Other Theft,2018,3,Renfrew-Collingwood,49.25816391274642,-123.03694953865468,Winter
3109,Other Theft,2021,11,Central Business District,49.28817078078124,-123.117981264045,Autumn
3110,Other Theft,2019,2,Victoria-Fraserview,49.22646252070817,-123.06576186501944,Winter
3111,Break and Enter Residential/Other,2018,5,Victoria-Fraserview,49.22827087162556,-123.07588513996164,Spring
3112,Mischief,2019,4,Central Business District,49.27419662132927,-123.12169293544812,Spring
3113,Theft from Vehicle,2022,2,Central Business District,49.28253946086779,-123.11814249232724,Winter
3114,Mischief,2019,6,Central Business District,49.27939204410424,-123.1014642672236,Spring
3115,Other Theft,2020,7,Strathcona,49.28184299843746,-123.09958228830574,Summer
3116,Other Theft,2022,8,Renfrew-Collingwood,49.25816391274642,-123.03694953865468,Summer
3117,Theft of Vehicle,2022,5,Grandview-Woodland,49.2739519946665,-123.0695590009132,Spring
3118,Theft from Vehicle,2018,11,Dunbar-Southlands,49.251026288977314,-123.18863740569655,Autumn
3119,Other Theft,2022,10,Sunset,49.21069229466819,-123.0992034981625,Autumn
3120,Theft from Vehicle,2020,12,Central Business District,49.2802370161827,-123.11758786810516,Autumn
3121,Other Theft,2022,4,Central Business District,49.27589069778127,-123.12425729944648,Spring
3122,Other Theft,2022,1,Mount Pleasant,49.26414876066305,-123.11469396171276,Winter
3123,Theft from Vehicle,2018,3,Grandview-Woodland,49.280274715807785,-123.05750945878803,Spring
3124,Other Theft,2019,8,Central Business District,49.28211733563796,-123.11859253261832,Summer
3125,Theft from Vehicle,2018,3,Dunbar-Southlands,49.23947891516476,-123.1858650223849,Spring
3126,Other Theft,2022,3,Hastings-Sunrise,49.28112519358408,-123.05445158145048,Spring
3127,Other Theft,2022,11,Central Business District,49.27839511823041,-123.1165218574766,Autumn
3128,Break and Enter Commercial,2019,11,Hastings-Sunrise,49.28114004311487,-123.0305836433609,Autumn
3129,Other Theft,2022,4,West End,49.28697912712243,-123.12841360007933,Spring
3130,Theft from Vehicle,2019,1,West End,49.28149192356324,-123.1265886348246,Winter
3131,Theft from Vehicle,2022,6,Central Business District,49.27628530032749,-123.1098693472969,Spring
3132,Theft from Vehicle,2020,12,South Cambie,49.24535902364562,-123.12758775367008,Autumn
3133,Theft from Vehicle,2020,2,Fairview,49.25995439261808,-123.13866195325936,Winter
3134,Theft from Vehicle,2018,8,Central Business District,49.28211030154984,-123.11103024031632,Summer
3135,Theft from Vehicle,2022,8,Sunset,49.2148901979739,-123.0978167177477,Summer
3136,Theft from Vehicle,2021,10,West End,49.2838323833648,-123.12591833119696,Autumn
3137,Theft from Vehicle,2018,4,Hastings-Sunrise,49.28571161396957,-123.02464788392142,Spring
3138,Theft from Vehicle,2019,3,Kitsilano,49.27062865025846,-123.1457053411694,Spring
3139,Mischief,2019,4,Marpole,49.213980013796345,-123.1415027409833,Spring
3140,Break and Enter Residential/Other,2021,2,West Point Grey,49.259043846874114,-123.19771438347472,Winter
3141,Mischief,2019,11,Grandview-Woodland,49.26332627618832,-123.07324757104462,Autumn
3142,Break and Enter Commercial,2018,4,Central Business District,49.27866943547703,-123.12580199502052,Spring
3143,Other Theft,2019,7,Sunset,49.21226752978256,-123.08312237664762,Summer
3144,Theft of Bicycle,2019,12,Mount Pleasant,49.258339688557534,-123.09989174088848,Autumn
3145,Break and Enter Commercial,2022,8,Central Business District,49.27621548636007,-123.11598143143355,Summer
3146,Break and Enter Commercial,2018,10,Central Business District,49.28155885421225,-123.12146200360536,Autumn
3147,Mischief,2021,2,Central Business District,49.28262065203832,-123.1069920488231,Winter
3148,Theft from Vehicle,2021,9,West End,49.28478845915745,-123.1229366438762,Summer
3149,Theft from Vehicle,2020,8,South Cambie,49.25165276068813,-123.12601169894918,Summer
3150,Theft from Vehicle,2022,8,Killarney,49.22652970869651,-123.04552495161118,Summer
3151,Vehicle Collision or Pedestrian Struck (with Fatality),2021,11,West End,49.28037694614056,-123.13122312826772,Autumn
3152,Other Theft,2018,10,Strathcona,49.28185060227745,-123.09946611047818,Autumn
3153,Other Theft,2019,5,Fairview,49.26350653673652,-123.1386235126638,Spring
3154,Other Theft,2019,7,Renfrew-Collingwood,49.2343763628884,-123.0320952333882,Summer
3155,Other Theft,2018,11,Central Business District,49.28299726100672,-123.11528863410363,Autumn
3156,Other Theft,2020,1,Kitsilano,49.26812540772665,-123.1505509868889,Winter
3157,Theft of Bicycle,2021,11,Renfrew-Collingwood,49.236991580345226,-123.04124468118094,Autumn
3158,Theft from Vehicle,2019,3,Renfrew-Collingwood,49.23640320197311,-123.02694089561167,Winter
3159,Other Theft,2022,9,Central Business District,49.28755962523345,-123.1258947977595,Summer
3160,Other Theft,2022,10,Strathcona,49.28136727297237,-123.0983178052775,Autumn
3161,Theft from Vehicle,2019,3,West End,49.28100826673936,-123.13446458703696,Winter
3162,Other Theft,2018,4,Riley Park,49.24088747391298,-123.1054136521215,Spring
3163,Theft from Vehicle,2019,7,Central Business District,49.28063978405826,-123.11883323588845,Summer
3164,Theft from Vehicle,2022,5,Grandview-Woodland,49.27209418372541,-123.0608582293442,Spring
3165,Theft from Vehicle,2018,10,Strathcona,49.2784225745457,-123.09349208010542,Autumn
3166,Theft of Bicycle,2020,12,Central Business District,49.2738465057436,-123.11892785162198,Autumn
3167,Theft from Vehicle,2020,6,Sunset,49.21491622397411,-123.0993670505624,Summer
3168,Theft from Vehicle,2019,9,Central Business District,49.28811228686931,-123.1153350736686,Summer
3169,Theft from Vehicle,2020,12,Central Business District,49.28103374359148,-123.10764378321232,Autumn
3170,Other Theft,2018,3,Mount Pleasant,49.26274625115536,-123.09707979036388,Winter
3171,Theft from Vehicle,2022,8,Central Business District,49.28133914761241,-123.11279586102184,Summer
3172,Theft of Bicycle,2022,6,West End,49.292142587640384,-123.13438600228116,Summer
3173,Theft from Vehicle,2022,10,Central Business District,49.28210465033341,-123.11476221016304,Autumn
3174,Break and Enter Residential/Other,2019,10,Hastings-Sunrise,49.26388484158202,-123.0396314967287,Autumn
3175,Theft from Vehicle,2021,9,Kensington-Cedar Cottage,49.25353419963633,-123.0582276774972,Autumn
3176,Theft from Vehicle,2019,12,West End,49.285416935040296,-123.13380204612731,Winter
3177,Other Theft,2018,11,West End,49.29062383634482,-123.1342162666802,Autumn
3178,Other Theft,2022,3,Sunset,49.21069199319222,-123.09920889068216,Winter
3179,Break and Enter Residential/Other,2018,9,South Cambie,49.252422661031616,-123.11879580145992,Autumn
3180,Other Theft,2022,4,West End,49.28450403375151,-123.12479019194582,Spring
3181,Theft from Vehicle,2021,9,Riley Park,49.25283193440974,-123.11129007154494,Summer
3182,Other Theft,2020,3,Strathcona,49.28220621832133,-123.0973603125459,Winter
3183,Other Theft,2018,11,West End,49.280383897863615,-123.1312141973024,Autumn
3184,Other Theft,2020,10,Shaughnessy,49.240412634490895,-123.13928412578016,Autumn
3185,Theft from Vehicle,2020,1,Kensington-Cedar Cottage,49.24452815612294,-123.06994890862974,Winter
3186,Other Theft,2021,8,Central Business District,49.2823088065011,-123.11830254195398,Summer
3187,Mischief,2020,1,Central Business District,49.28816470982864,-123.12066183858934,Winter
3188,Other Theft,2019,12,Strathcona,49.2697015425116,-123.07852334927034,Autumn
3189,Mischief,2021,6,Sunset,49.21069199319222,-123.09920889068216,Spring
3190,Other Theft,2020,6,Hastings-Sunrise,49.26563165230634,-123.03717124237656,Summer
3191,Theft from Vehicle,2019,1,West End,49.28628030397881,-123.12734065421247,Winter
3192,Mischief,2018,7,Hastings-Sunrise,49.26370454241228,-123.0310776826403,Summer
3193,Theft from Vehicle,2019,10,West End,49.28495662555636,-123.12968789353008,Autumn
3194,Other Theft,2021,11,Central Business District,49.28276098023576,-123.1176181929895,Autumn
3195,Other Theft,2018,12,Victoria-Fraserview,49.23208543648269,-123.05010774606367,Autumn
3196,Theft from Vehicle,2020,2,Victoria-Fraserview,49.214435910316574,-123.06209163543562,Winter
3197,Other Theft,2020,10,Central Business District,49.27862339926124,-123.108882495288,Autumn
3198,Other Theft,2019,5,Central Business District,49.28441356162228,-123.11238089287376,Spring
3199,Mischief,2021,9,Central Business District,49.28242730074369,-123.1144577878004,Summer
3200,Theft from Vehicle,2019,12,Central Business District,49.27543538433196,-123.12683652972272,Autumn
3201,Other Theft,2018,12,Central Business District,49.281165881368096,-123.12021002491232,Winter
3202,Theft from Vehicle,2020,1,Kitsilano,49.26558959174213,-123.15617632941446,Winter
3203,Theft from Vehicle,2018,12,West Point Grey,49.26194973313236,-123.20188227210365,Winter
3204,Other Theft,2022,4,Central Business District,49.277889024856144,-123.124055803303,Spring
3205,Break and Enter Residential/Other,2021,2,Riley Park,49.245583434170165,-123.0947825670082,Winter
3206,Theft from Vehicle,2020,5,Kensington-Cedar Cottage,49.24636331591606,-123.07213580876449,Spring
3207,Theft from Vehicle,2021,7,Central Business District,49.282381112818136,-123.1019501549477,Summer
3208,Other Theft,2019,8,Arbutus Ridge,49.25465501801005,-123.16905071916165,Summer
3209,Mischief,2018,5,Strathcona,49.28185060227745,-123.09946611047818,Spring
3210,Theft from Vehicle,2018,2,Strathcona,49.28185060227745,-123.09946611047818,Winter
3211,Theft from Vehicle,2018,9,Fairview,49.26417553865672,-123.11988637987892,Summer
3212,Theft from Vehicle,2018,8,West End,49.28535059617858,-123.12370630349092,Summer
3213,Other Theft,2019,3,Central Business District,49.27966682895665,-123.12231453005232,Winter
3214,Theft from Vehicle,2021,7,Central Business District,49.28242959800346,-123.10426740061448,Summer
3215,Theft from Vehicle,2022,7,Riley Park,49.2566287387645,-123.10638262969287,Summer
3216,Theft from Vehicle,2021,6,Dunbar-Southlands,49.2491217657119,-123.2045908723231,Spring
3217,Theft from Vehicle,2021,8,Central Business District,49.27570519017768,-123.11476083140973,Summer
3218,Theft from Vehicle,2019,1,Hastings-Sunrise,49.28674845032796,-123.05451025864284,Winter
3219,Mischief,2019,7,Sunset,49.213898468846935,-123.08691522223177,Summer
3220,Mischief,2021,10,Strathcona,49.28128874261942,-123.09396047253014,Autumn
3221,Mischief,2019,12,West End,49.28278957559984,-123.12639427749936,Autumn
3222,Mischief,2022,2,Central Business District,49.28252635860801,-123.1181221428289,Winter
3223,Theft from Vehicle,2018,4,Victoria-Fraserview,49.20934380317658,-123.0770370650432,Spring
3224,Theft of Vehicle,2020,7,Sunset,49.224535524493135,-123.09403661075864,Summer
